Month,Price (€/m^2),District
2022-04-01,3418,Certosa
2022-03-01,3380,Certosa
2022-02-01,3447,Certosa
2022-01-01,3306,Certosa
2021-12-01,3306,Certosa
2021-11-01,3275,Certosa
2021-10-01,3269,Certosa
2021-09-01,3252,Certosa
2021-08-01,3278,Certosa
2021-07-01,3254,Certosa
2021-06-01,3245,Certosa
2021-05-01,3254,Certosa
2021-04-01,3233,Certosa
2021-03-01,3246,Certosa
2021-02-01,3246,Certosa
2021-01-01,3216,Certosa
2020-12-01,3179,Certosa
2020-11-01,3219,Certosa
2020-10-01,3271,Certosa
2020-09-01,3272,Certosa
2020-08-01,3332,Certosa
2020-07-01,3332,Certosa
2020-06-01,3317,Certosa
2020-05-01,3307,Certosa
2020-04-01,3181,Certosa
2020-03-01,3065,Certosa
2020-02-01,2917,Certosa
2020-01-01,2821,Certosa
2019-12-01,2815,Certosa
2019-11-01,2793,Certosa
2019-10-01,2833,Certosa
2019-09-01,2810,Certosa
2019-08-01,2737,Certosa
2019-07-01,2737,Certosa
2019-06-01,2695,Certosa
2019-05-01,2664,Certosa
2019-04-01,2628,Certosa
2019-03-01,2593,Certosa
2019-02-01,2549,Certosa
2019-01-01,2467,Certosa
2018-12-01,2481,Certosa
2018-11-01,2526,Certosa
2018-10-01,2565,Certosa
2018-09-01,2568,Certosa
2018-08-01,2575,Certosa
2018-07-01,2605,Certosa
2018-06-01,2577,Certosa
2018-05-01,2550,Certosa
2018-04-01,2503,Certosa
2018-03-01,2478,Certosa
2018-02-01,2455,Certosa
2018-01-01,2439,Certosa
2017-12-01,2442,Certosa
2017-11-01,2444,Certosa
2017-10-01,2439,Certosa
2017-09-01,2423,Certosa
2017-08-01,2345,Certosa
2017-07-01,2113,Certosa
2017-06-01,2146,Certosa
2017-05-01,2325,Certosa
2017-04-01,2357,Certosa
2017-03-01,2400,Certosa
2017-02-01,2363,Certosa
2017-01-01,2338,Certosa
2016-12-01,2339,Certosa
2016-11-01,2302,Certosa
2016-10-01,2327,Certosa
2016-09-01,2350,Certosa
2016-08-01,2271,Certosa
2016-07-01,2310,Certosa
2016-06-01,2310,Certosa
2016-05-01,2343,Certosa
2016-04-01,2403,Certosa
2016-03-01,2407,Certosa
2016-02-01,2413,Certosa
2016-01-01,2413,Certosa
2015-12-01,2409,Certosa
2015-11-01,2412,Certosa
2015-10-01,2428,Certosa
2015-09-01,2436,Certosa
2015-08-01,2431,Certosa
2015-07-01,2469,Certosa
2015-06-01,2473,Certosa
2015-05-01,2505,Certosa
2015-04-01,2505,Certosa
2015-03-01,2497,Certosa
2015-02-01,2512,Certosa
2015-01-01,2515,Certosa
2014-12-01,2516,Certosa
2014-11-01,2535,Certosa
2014-10-01,2563,Certosa
2014-09-01,2560,Certosa
2014-08-01,2531,Certosa
2014-07-01,2532,Certosa
2014-06-01,2554,Certosa
2014-05-01,2578,Certosa
2014-04-01,2603,Certosa
2014-03-01,2612,Certosa
2014-02-01,2588,Certosa
2014-01-01,2631,Certosa
2013-12-01,2630,Certosa
2013-11-01,2646,Certosa
2013-10-01,2680,Certosa
2013-09-01,2680,Certosa
2013-08-01,2680,Certosa
2013-07-01,2577,Certosa
2013-06-01,2594,Certosa
2013-05-01,2659,Certosa
2013-04-01,2758,Certosa
2023-03-01,3712,Comasina
2023-02-01,3674,Comasina
2023-01-01,3745,Comasina
2022-12-01,3681,Comasina
2022-11-01,3600,Comasina
2022-10-01,3617,Comasina
2022-09-01,3657,Comasina
2022-08-01,3700,Comasina
2022-07-01,3664,Comasina
2022-06-01,3604,Comasina
2022-05-01,3570,Comasina
2022-04-01,3570,Comasina
2022-03-01,3515,Comasina
2022-02-01,3472,Comasina
2022-01-01,3466,Comasina
2021-12-01,3480,Comasina
2021-11-01,3464,Comasina
2021-10-01,3398,Comasina
2021-09-01,3392,Comasina
2021-08-01,3400,Comasina
2021-07-01,3361,Comasina
2021-06-01,3336,Comasina
2021-05-01,3294,Comasina
2021-04-01,3285,Comasina
2021-03-01,3271,Comasina
2021-02-01,3197,Comasina
2021-01-01,3191,Comasina
2020-12-01,3154,Comasina
2020-11-01,3144,Comasina
2020-10-01,3161,Comasina
2020-09-01,3162,Comasina
2020-08-01,3195,Comasina
2020-07-01,3192,Comasina
2020-06-01,3336,Comasina
2020-05-01,3442,Comasina
2020-04-01,3221,Comasina
2020-03-01,3087,Comasina
2020-02-01,3056,Comasina
2020-01-01,2958,Comasina
2019-12-01,2891,Comasina
2019-11-01,2865,Comasina
2019-10-01,2897,Comasina
2019-09-01,2901,Comasina
2019-08-01,2896,Comasina
2019-07-01,2883,Comasina
2019-06-01,2882,Comasina
2019-05-01,2814,Comasina
2019-04-01,2852,Comasina
2019-03-01,2808,Comasina
2019-02-01,2759,Comasina
2019-01-01,2713,Comasina
2018-12-01,2716,Comasina
2018-11-01,2686,Comasina
2018-10-01,2650,Comasina
2018-09-01,2625,Comasina
2018-08-01,2590,Comasina
2018-07-01,2585,Comasina
2018-06-01,2587,Comasina
2018-05-01,2586,Comasina
2018-04-01,2564,Comasina
2018-03-01,2585,Comasina
2018-02-01,2559,Comasina
2018-01-01,2498,Comasina
2017-12-01,2469,Comasina
2017-11-01,2453,Comasina
2017-10-01,2459,Comasina
2017-09-01,2458,Comasina
2017-08-01,2361,Comasina
2017-07-01,2215,Comasina
2017-06-01,2208,Comasina
2017-05-01,2351,Comasina
2017-04-01,2381,Comasina
2017-03-01,2389,Comasina
2017-02-01,2413,Comasina
2017-01-01,2379,Comasina
2016-12-01,2384,Comasina
2016-11-01,2379,Comasina
2016-10-01,2364,Comasina
2016-09-01,2379,Comasina
2016-08-01,2328,Comasina
2016-07-01,2370,Comasina
2016-06-01,2387,Comasina
2016-05-01,2411,Comasina
2016-04-01,2506,Comasina
2016-03-01,2510,Comasina
2016-02-01,2481,Comasina
2016-01-01,2466,Comasina
2015-12-01,2472,Comasina
2015-11-01,2504,Comasina
2015-10-01,2484,Comasina
2015-09-01,2500,Comasina
2015-08-01,2517,Comasina
2015-07-01,2594,Comasina
2015-06-01,2596,Comasina
2015-05-01,2628,Comasina
2015-04-01,2637,Comasina
2015-03-01,2655,Comasina
2015-02-01,2658,Comasina
2015-01-01,2656,Comasina
2014-12-01,2617,Comasina
2014-11-01,2603,Comasina
2014-10-01,2572,Comasina
2014-09-01,2530,Comasina
2014-08-01,2491,Comasina
2014-07-01,2505,Comasina
2014-06-01,2504,Comasina
2014-05-01,2505,Comasina
2014-04-01,2491,Comasina
2014-03-01,2563,Comasina
2014-02-01,2624,Comasina
2014-01-01,2590,Comasina
2013-12-01,2553,Comasina
2013-11-01,2581,Comasina
2013-10-01,2635,Comasina
2013-09-01,2635,Comasina
2013-08-01,2635,Comasina
2013-07-01,2699,Comasina
2013-06-01,2704,Comasina
2013-05-01,2701,Comasina
2013-04-01,2735,Comasina
2023-03-01,3726,Corvetto
2023-02-01,3558,Corvetto
2023-01-01,3562,Corvetto
2022-12-01,3841,Corvetto
2022-11-01,3813,Corvetto
2022-10-01,3799,Corvetto
2022-09-01,3758,Corvetto
2022-08-01,3913,Corvetto
2022-07-01,3796,Corvetto
2022-06-01,3660,Corvetto
2022-05-01,3486,Corvetto
2022-04-01,3448,Corvetto
2022-03-01,3381,Corvetto
2022-02-01,3490,Corvetto
2022-01-01,3546,Corvetto
2021-12-01,3592,Corvetto
2021-11-01,3495,Corvetto
2021-10-01,3386,Corvetto
2021-09-01,3385,Corvetto
2021-08-01,3433,Corvetto
2021-07-01,3377,Corvetto
2021-06-01,3383,Corvetto
2021-05-01,3384,Corvetto
2021-04-01,3369,Corvetto
2021-03-01,3275,Corvetto
2021-02-01,3174,Corvetto
2021-01-01,3130,Corvetto
2020-12-01,2997,Corvetto
2020-11-01,2867,Corvetto
2020-10-01,2905,Corvetto
2020-09-01,2873,Corvetto
2020-08-01,2900,Corvetto
2020-07-01,3005,Corvetto
2020-06-01,2952,Corvetto
2020-05-01,2932,Corvetto
2020-04-01,2855,Corvetto
2020-03-01,2824,Corvetto
2020-02-01,2709,Corvetto
2020-01-01,2720,Corvetto
2019-12-01,2731,Corvetto
2019-11-01,2658,Corvetto
2019-10-01,2631,Corvetto
2019-09-01,2614,Corvetto
2019-08-01,2578,Corvetto
2019-07-01,2581,Corvetto
2019-06-01,2589,Corvetto
2019-05-01,2591,Corvetto
2019-04-01,2563,Corvetto
2019-03-01,2499,Corvetto
2019-02-01,2488,Corvetto
2019-01-01,2458,Corvetto
2018-12-01,2455,Corvetto
2018-11-01,2445,Corvetto
2018-10-01,2447,Corvetto
2018-09-01,2439,Corvetto
2018-08-01,2405,Corvetto
2018-07-01,2371,Corvetto
2018-06-01,2402,Corvetto
2018-05-01,2422,Corvetto
2018-04-01,2441,Corvetto
2018-03-01,2405,Corvetto
2018-02-01,2392,Corvetto
2018-01-01,2394,Corvetto
2017-12-01,2422,Corvetto
2017-11-01,2423,Corvetto
2017-10-01,2410,Corvetto
2017-09-01,2375,Corvetto
2017-08-01,2269,Corvetto
2017-07-01,2061,Corvetto
2017-06-01,1998,Corvetto
2017-05-01,2097,Corvetto
2017-04-01,2139,Corvetto
2017-03-01,2197,Corvetto
2017-02-01,2148,Corvetto
2017-01-01,2099,Corvetto
2016-12-01,2098,Corvetto
2016-11-01,2094,Corvetto
2016-10-01,2161,Corvetto
2016-09-01,2181,Corvetto
2016-08-01,2079,Corvetto
2016-07-01,2125,Corvetto
2016-06-01,2183,Corvetto
2016-05-01,2257,Corvetto
2016-04-01,2324,Corvetto
2016-03-01,2325,Corvetto
2016-02-01,2307,Corvetto
2016-01-01,2312,Corvetto
2015-12-01,2323,Corvetto
2015-11-01,2344,Corvetto
2015-10-01,2369,Corvetto
2015-09-01,2387,Corvetto
2015-08-01,2392,Corvetto
2015-07-01,2423,Corvetto
2015-06-01,2444,Corvetto
2015-05-01,2426,Corvetto
2015-04-01,2433,Corvetto
2015-03-01,2441,Corvetto
2015-02-01,2450,Corvetto
2015-01-01,2450,Corvetto
2014-12-01,2445,Corvetto
2014-11-01,2450,Corvetto
2014-10-01,2443,Corvetto
2014-09-01,2460,Corvetto
2014-08-01,2498,Corvetto
2014-07-01,2544,Corvetto
2014-06-01,2551,Corvetto
2014-05-01,2557,Corvetto
2014-04-01,2568,Corvetto
2014-03-01,2618,Corvetto
2014-02-01,2624,Corvetto
2014-01-01,2624,Corvetto
2013-12-01,2630,Corvetto
2013-11-01,2644,Corvetto
2013-10-01,2669,Corvetto
2013-09-01,2669,Corvetto
2013-08-01,2669,Corvetto
2013-07-01,2704,Corvetto
2013-06-01,2702,Corvetto
2013-05-01,2681,Corvetto
2013-04-01,2702,Corvetto
2023-03-01,4015,Famagosta
2023-02-01,4021,Famagosta
2023-01-01,3975,Famagosta
2022-12-01,3926,Famagosta
2022-11-01,3903,Famagosta
2022-10-01,3923,Famagosta
2022-09-01,3854,Famagosta
2022-08-01,3795,Famagosta
2022-07-01,3707,Famagosta
2022-06-01,3600,Famagosta
