"ITTER107","Territorio","TIPO_DATO7","Indicatori","CORREZ","Correzione","TIPO_ALLOGGIO2","Tipologia di esercizio","ATECO_2007","Ateco 2007","ISO","Paese di residenza dei clienti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-02","Feb-1996",6741840,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-03","Mar-1996",7249786,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-04","Apr-1996",7358861,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-05","Mag-1996",7238036,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-06","Giu-1996",12959812,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-07","Lug-1996",19813354,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-08","Ago-1996",26251976,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-09","Set-1996",11626087,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-10","Ott-1996",6412830,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-11","Nov-1996",5099174,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1996-12","Dic-1996",5463144,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-01","Gen-1997",6441170,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-02","Feb-1997",6613294,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-03","Mar-1997",7788299,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-04","Apr-1997",6904329,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-05","Mag-1997",7492104,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-06","Giu-1997",12581881,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-07","Lug-1997",19512745,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-08","Ago-1997",26347092,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1997-09","Set-1997",11845975,,
