Month,Price (€/m^2),District
2020-10-01,17.4,Cermenate
2020-09-01,17.2,Cermenate
2020-08-01,17.0,Cermenate
2020-07-01,17.3,Cermenate
2020-06-01,18.0,Cermenate
2020-05-01,18.8,Cermenate
2020-04-01,18.0,Cermenate
2020-03-01,17.9,Cermenate
2020-02-01,18.2,Cermenate
2020-01-01,18.8,Cermenate
2019-12-01,18.2,Cermenate
2019-11-01,18.0,Cermenate
2019-10-01,18.1,Cermenate
2019-09-01,18.0,Cermenate
2019-08-01,17.1,Cermenate
2019-07-01,17.5,Cermenate
2019-06-01,17.0,Cermenate
2019-05-01,16.3,Cermenate
2019-04-01,16.0,Cermenate
2019-03-01,16.6,Cermenate
2019-02-01,16.0,Cermenate
2019-01-01,15.7,Cermenate
2018-12-01,16.7,Cermenate
2018-11-01,16.7,Cermenate
2018-10-01,16.7,Cermenate
2018-09-01,16.2,Cermenate
2018-08-01,16.1,Cermenate
2018-07-01,16.3,Cermenate
2018-06-01,16.5,Cermenate
2018-05-01,16.3,Cermenate
2018-04-01,15.8,Cermenate
2018-03-01,15.9,Cermenate
2018-02-01,16.0,Cermenate
2018-01-01,15.9,Cermenate
2017-12-01,16.0,Cermenate
2017-11-01,15.0,Cermenate
2017-10-01,15.3,Cermenate
2017-09-01,15.3,Cermenate
2017-08-01,15.0,Cermenate
2017-07-01,14.8,Cermenate
2017-06-01,15.1,Cermenate
2017-05-01,15.6,Cermenate
2017-04-01,15.9,Cermenate
2017-03-01,15.3,Cermenate
2017-02-01,15.2,Cermenate
2017-01-01,15.2,Cermenate
2016-12-01,15.2,Cermenate
2016-11-01,15.1,Cermenate
2016-10-01,15.1,Cermenate
2016-09-01,14.3,Cermenate
2016-08-01,14.1,Cermenate
2016-07-01,14.0,Cermenate
2016-06-01,13.8,Cermenate
2016-05-01,13.6,Cermenate
2016-04-01,13.8,Cermenate
2016-03-01,14.0,Cermenate
2016-02-01,14.2,Cermenate
2016-01-01,14.1,Cermenate
2015-12-01,13.6,Cermenate
2015-11-01,13.8,Cermenate
2015-10-01,14.2,Cermenate
2015-09-01,14.4,Cermenate
2015-08-01,14.4,Cermenate
2015-07-01,14.8,Cermenate
2015-06-01,15.0,Cermenate
2015-05-01,14.5,Cermenate
2015-04-01,14.3,Cermenate
2015-03-01,14.0,Cermenate
2015-02-01,14.0,Cermenate
2015-01-01,13.6,Cermenate
2014-12-01,13.6,Cermenate
2014-11-01,13.3,Cermenate
2014-10-01,13.3,Cermenate
2014-09-01,13.3,Cermenate
2014-08-01,13.1,Cermenate
2014-07-01,13.1,Cermenate
2014-06-01,13.2,Cermenate
2014-05-01,13.3,Cermenate
2014-04-01,13.3,Cermenate
2014-03-01,13.9,Cermenate
2014-02-01,13.3,Cermenate
2014-01-01,13.3,Cermenate
2013-12-01,13.1,Cermenate
2013-11-01,13.3,Cermenate
2013-10-01,13.4,Cermenate
2013-09-01,,Cermenate
2013-08-01,,Cermenate
2013-07-01,13.3,Cermenate
2013-06-01,13.3,Cermenate
2013-05-01,13.9,Cermenate
2013-04-01,14.2,Cermenate
2023-03-01,20.0,CittaStudi
2023-02-01,20.0,CittaStudi
2023-01-01,19.2,CittaStudi
2022-12-01,19.0,CittaStudi
2022-11-01,18.4,CittaStudi
2022-10-01,18.3,CittaStudi
2022-09-01,18.2,CittaStudi
2022-08-01,17.9,CittaStudi
2022-07-01,17.6,CittaStudi
2022-06-01,17.5,CittaStudi
2022-05-01,17.1,CittaStudi
2022-04-01,17.5,CittaStudi
2022-03-01,18.0,CittaStudi
2022-02-01,18.2,CittaStudi
2022-01-01,18.4,CittaStudi
2021-12-01,17.6,CittaStudi
2021-11-01,16.4,CittaStudi
2021-10-01,16.3,CittaStudi
2021-09-01,16.2,CittaStudi
2021-08-01,16.0,CittaStudi
2021-07-01,15.8,CittaStudi
2021-06-01,16.0,CittaStudi
2021-05-01,15.6,CittaStudi
2021-04-01,15.4,CittaStudi
2021-03-01,15.7,CittaStudi
2021-02-01,15.7,CittaStudi
2021-01-01,15.7,CittaStudi
2020-12-01,16.3,CittaStudi
2020-11-01,16.7,CittaStudi
2020-10-01,17.0,CittaStudi
2020-09-01,16.9,CittaStudi
2020-08-01,16.9,CittaStudi
2020-07-01,17.2,CittaStudi
2020-06-01,17.5,CittaStudi
2020-05-01,18.6,CittaStudi
2020-04-01,18.6,CittaStudi
2020-03-01,18.3,CittaStudi
2020-02-01,18.0,CittaStudi
2020-01-01,18.0,CittaStudi
2019-12-01,17.4,CittaStudi
2019-11-01,16.9,CittaStudi
2019-10-01,16.4,CittaStudi
2019-09-01,16.7,CittaStudi
2019-08-01,16.7,CittaStudi
2019-07-01,16.7,CittaStudi
2019-06-01,16.7,CittaStudi
2019-05-01,17.2,CittaStudi
2019-04-01,16.8,CittaStudi
2019-03-01,15.9,CittaStudi
2019-02-01,15.9,CittaStudi
2019-01-01,16.1,CittaStudi
2018-12-01,16.0,CittaStudi
2018-11-01,15.8,CittaStudi
2018-10-01,15.5,CittaStudi
2018-09-01,15.1,CittaStudi
2018-08-01,15.3,CittaStudi
2018-07-01,15.0,CittaStudi
2018-06-01,14.6,CittaStudi
2018-05-01,14.7,CittaStudi
2018-04-01,15.4,CittaStudi
2018-03-01,15.4,CittaStudi
2018-02-01,15.4,CittaStudi
2018-01-01,15.0,CittaStudi
2017-12-01,14.6,CittaStudi
2017-11-01,14.6,CittaStudi
2017-10-01,14.7,CittaStudi
2017-09-01,14.4,CittaStudi
2017-08-01,14.3,CittaStudi
2017-07-01,14.2,CittaStudi
2017-06-01,14.7,CittaStudi
2017-05-01,14.4,CittaStudi
2017-04-01,14.2,CittaStudi
2017-03-01,13.8,CittaStudi
2017-02-01,13.8,CittaStudi
2017-01-01,14.5,CittaStudi
2016-12-01,14.3,CittaStudi
2016-11-01,13.8,CittaStudi
2016-10-01,13.8,CittaStudi
2016-09-01,13.7,CittaStudi
2016-08-01,14.0,CittaStudi
2016-07-01,14.0,CittaStudi
2016-06-01,13.7,CittaStudi
2016-05-01,13.6,CittaStudi
2016-04-01,14.0,CittaStudi
2016-03-01,13.6,CittaStudi
2016-02-01,13.3,CittaStudi
2016-01-01,13.3,CittaStudi
2015-12-01,13.0,CittaStudi
2015-11-01,13.0,CittaStudi
2015-10-01,13.0,CittaStudi
2015-09-01,12.9,CittaStudi
