source = https://gsapubs.figshare.com/articles/journal_contribution/Supplemental_material_Evolution_of_middle_to_Late_Cretaceous_oceans_A_55_m_y_record_of_Earth_s_temperature_and_carbon_cycle/12527942
tbase = 14°C

Anomaly(°C)	YB 2015
1.5620000000000012	123685.00000000001
0.27133333333333454	124545.0
-0.41293333333333493	125524.99999999999
-0.6945333333333341	126325.0
-1.0700000000000003	127645.0
-2.1553333333333313	128685.0
-2.172933333333333	129884.99999999999
-2.5601333333333347	131105.0
-3.2700000000000014	132505.0
-3.903600000000001	133505.0
-4.091333333333331	134465.0
-4.144133333333333	135465.00000000003
-4.372933333333332	136865.0
-4.1324000000000005	137865.0
-4.144133333333334	138665.0
-3.903600000000001	139665.0
-4.067866666666665	140465.00000000003
-3.868400000000003	141065.0
-3.856666666666669	141865.0
-3.82733333333333	142665.0
-4.050266666666666	143404.99999999997
-3.7510666666666665	144204.99999999997
-3.9974666666666643	144924.99999999997
-4.050266666666666	145725.00000000003
-4.015066666666662	146524.99999999997
-3.956400000000002	147225.00000000003
-4.4140000000000015	148025.0
-4.279066666666665	148665.0
-4.073733333333333	149265.0
-4.0150666666666694	150065.0
-3.8683999999999976	150845.0
-3.698266666666667	151644.99999999997
-3.610266666666666	152644.99999999997
-3.4694666666666656	153645.0
-3.4987999999999992	154445.00000000003
-3.4518666666666658	155424.99999999997
-3.346266666666665	156325.00000000003
-3.3638666666666683	157364.99999999997
-3.5515999999999988	158205.0
-3.3756000000000004	159205.0
-3.5340000000000007	160005.00000000003
-3.387333333333334	161105.00000000003
-3.2758666666666674	161905.00000000003
-3.228933333333334	162964.99999999997
-3.146799999999999	163964.99999999997
-3.006000000000002	165165.00000000003
-3.011866666666668	166105.00000000003
-2.918000000000001	166905.0
-3.035333333333334	167765.00000000003
-2.941466666666667	168765.00000000003
-2.6950666666666656	169565.00000000003
-2.730266666666667	170425.0
-2.718533333333335	171224.99999999997
-2.730266666666667	172085.0
-2.7772000000000006	173085.0
-2.83	174084.99999999997
-2.753733333333331	174884.99999999997
-2.964933333333331	175745.0
-2.8593333333333355	176925.0
-2.988400000000004	177884.99999999997
-2.9532000000000025	178885.0
-3.076399999999998	180285.0
-2.8769333333333336	181825.0
-2.642266666666666	183024.99999999994
-2.706800000000003	184065.0
-2.659866666666664	185325.0
-2.389999999999999	186325.00000000003
-2.0086666666666684	187325.00000000006
-1.7094666666666676	188124.99999999997
-1.4219999999999988	189125.0
-1.2929333333333322	190065.0
-1.111066666666666	191225.0
-0.6710666666666665	192224.99999999997
-0.6710666666666665	193225.0
-0.3953333333333333	194125.00000000003
-0.31906666666666617	194924.99999999997
-0.2956000000000021	195545.0
-0.6006666666666671	196545.0
-0.817733333333333	197465.00000000003
-0.7707999999999995	198365.0
-0.7649333333333335	199165.0
-0.4774666666666665	200185.0
-0.6182666666666652	200865.0
-0.6065333333333349	201745.00000000003
-0.5948000000000011	202745.00000000003
-0.5068000000000001	203765.0
-0.718	204945.0
-0.7825333333333351	206065.00000000003
-0.6828000000000003	207564.99999999997
-0.8529333333333327	208965.0
-0.7708000000000013	210744.99999999997
-0.9057333333333322	212364.99999999997
-0.7825333333333351	213984.99999999997
-0.7531999999999996	215084.99999999997
-0.6886666666666681	216484.99999999997
-0.7884000000000011	217685.0
-0.8881333333333341	218485.0
-1.1521333333333335	219265.00000000003
-1.5276000000000014	220265.00000000003
-2.1788000000000007	220925.0
-2.4721333333333337	221725.00000000003
-2.583599999999999	222525.0
-3.017733333333334	223524.99999999997
-3.094000000000001	224244.99999999997
-2.7830666666666684	225385.00000000003
-2.824133333333334	226185.0
-2.730266666666669	227165.0
-2.3137333333333316	227964.99999999997
-1.7387999999999995	229245.00000000003
-1.7094666666666676	230045.0
-1.785733333333333	230864.99999999997
-2.026266666666668	232084.99999999997
-1.8091999999999988	233365.0
