source = http://www.lorraine-lisiecki.com/LR04stack.txt

Anomaly(°C)	YB 2015
-2.3019999999999996	109065.0
-2.067333333333334	110065.0
-2.0086666666666666	111065.0
-2.0380000000000003	112065.0
-1.7446666666666673	113065.0
-1.392666666666667	114065.0
-1.099333333333334	115065.0
-0.718	116065.0
-0.6006666666666671	117065.0
-0.30733333333333235	118065.0
0.1033333333333335	119065.0
0.1913333333333327	120065.0
0.22066666666666634	121065.0
0.6233333333333313	122065.0
1.0500000000000007	123065.0
0.1913333333333327	124065.0
0.836666666666666	125065.0
0.7300000000000004	126065.0
-0.10200000000000031	127065.0
-1.099333333333334	128065.0
-1.6566666666666663	129065.0
-0.9819999999999993	130065.0
-1.392666666666667	131065.0
-2.536666666666667	132065.0
-3.1526666666666667	133065.0
-4.003333333333334	134065.0
-4.472666666666669	135065.0
-4.355333333333334	136065.0
-4.296666666666667	137065.0
-4.560666666666666	138065.0
-4.502000000000001	139065.0
-4.824666666666669	140065.0
-4.3260000000000005	141065.0
-4.15	142065.0
-4.238000000000001	143065.0
-4.355333333333334	144065.0
-4.1206666666666685	145065.0
-4.208666666666666	146065.0
-4.355333333333334	147065.0
-4.0326666666666675	148065.0
-4.15	149065.0
-4.15	150065.0
-3.886000000000001	151065.0
-3.827333333333332	152065.0
-3.768666666666668	153065.0
-3.886000000000001	154065.0
-3.4459999999999997	155065.0
-4.238000000000001	156065.0
-4.1206666666666685	157065.0
-3.974	158065.0
-3.886000000000001	159065.0
-3.974	160065.0
-3.856666666666669	161065.0
-3.886000000000001	162065.0
-4.003333333333334	163065.0
-3.9446666666666665	164065.0
-3.9446666666666665	165065.0
-3.3580000000000023	166065.0
-3.1526666666666667	167065.0
-3.3580000000000023	168065.0
-3.416666666666666	169065.0
-3.416666666666666	170065.0
-3.504666666666667	171065.0
-3.2993333333333332	172065.0
-3.0646666666666658	173065.0
-2.7713333333333345	174065.0
-2.8886666666666674	175065.0
-3.0939999999999994	176065.0
-3.2993333333333332	177065.0
-3.2406666666666677	178065.0
-3.3580000000000023	179065.0
-3.0939999999999994	180065.0
-3.2993333333333332	181065.0
-3.3580000000000023	182065.0
-3.035333333333334	183065.0
-3.123333333333335	184065.0
-3.680666666666667	185065.0
-3.328666666666667	186065.0
-3.123333333333335	187065.0
-3.2993333333333332	188065.0
-3.0939999999999994	189065.0
-2.7713333333333345	190065.0
-2.3313333333333333	191065.0
-1.2459999999999987	192065.0
-1.7153333333333336	193065.0
-1.4806666666666661	194065.0
-1.686	195065.0
-1.4220000000000006	196065.0
-1.187333333333335	197065.0
-1.4220000000000006	198065.0
-0.6886666666666663	199065.0
-0.5713333333333335	200065.0
-0.5713333333333335	201065.0
-0.8646666666666665	202065.0
-0.8059999999999992	203065.0
-1.304666666666666	204065.0
-1.4220000000000006	205065.0
-1.275333333333334	206065.0
-1.304666666666666	207065.0
-1.099333333333334	208065.0
-0.8940000000000001	209065.0
-0.6886666666666663	210065.0
-0.7766666666666673	211065.0
-0.8059999999999992	212065.0
-0.9233333333333338	213065.0
-0.6593333333333327	214065.0
-0.6006666666666671	215065.0
-0.5713333333333335	216065.0
-0.42466666666666697	217065.0
-1.1286666666666676	218065.0
-1.774000000000001	219065.0
-1.8913333333333338	220065.0
-2.624666666666668	221065.0
-3.0646666666666658	222065.0
-3.2406666666666677	223065.0
-3.0939999999999994	224065.0
-2.7713333333333345	225065.0
-2.8006666666666664	226065.0
-2.507333333333335	227065.0
-2.507333333333335	228065.0
-2.0086666666666666	229065.0
-2.83	230065.0
-2.5953333333333326	231065.0
-2.448666666666666	232065.0
-1.862	233065.0
-1.4806666666666661	234065.0
-1.099333333333334	235065.0
-0.9526666666666674	236065.0
-0.3953333333333333	237065.0
-0.5126666666666662	238065.0
-0.30733333333333235	239065.0
-0.30733333333333235	240065.0
-0.6006666666666671	241065.0
-1.011333333333333	242065.0
-1.304666666666666	243065.0
-2.096666666666666	244065.0
-2.448666666666666	245065.0
-3.0646666666666658	246065.0
-2.859333333333332	247065.0
-3.0646666666666658	248065.0
-3.006000000000002	249065.0
-3.416666666666666	250065.0
-3.6513333333333335	251065.0
-3.798	252065.0
-3.4753333333333316	253065.0
-3.6220000000000017	254065.0
-3.035333333333334	255065.0
-3.2113333333333323	256065.0
-3.5633333333333326	257065.0
-3.4459999999999997	258065.0
-3.4753333333333316	259065.0
-3.2993333333333332	260065.0
-3.4753333333333316	261065.0
-3.2700000000000014	262065.0
-3.2993333333333332	263065.0
-3.1820000000000004	264065.0
-3.2406666666666677	265065.0
-3.416666666666666	266065.0
-3.416666666666666	267065.0
-2.918000000000001	268065.0
-3.4753333333333316	269065.0
