source = http://www.columbia.edu/~mhs119/Sensitivity+SL+CO2/Table.txt

Anomaly(°C)	YB 2015
-0.6099999999999994	114565.0
-0.8399999999999999	115565.0
-1.0299999999999994	116565.0
-0.6099999999999994	117565.0
-0.33000000000000007	118465.0
-0.23000000000000043	119265.0
0.5199999999999996	119965.0
1.5099999999999998	120565.0
0.8900000000000006	121565.0
1.0700000000000003	122464.99999999999
1.5600000000000005	123665.0
0.2699999999999996	124565.0
-0.41000000000000014	125565.0
-0.6899999999999995	126365.0
-1.0700000000000003	127664.99999999999
-2.16	128664.99999999999
-2.17	129865.00000000001
-2.5600000000000005	131065.0
-3.2699999999999996	132464.99999999997
-4.02	133464.99999999997
-4.09	134465.0
-4.140000000000001	135465.0
-4.369999999999999	136865.0
-4.130000000000001	137865.0
-4.029999999999999	138665.0
-4.050000000000001	139665.0
-4.07	140465.0
-3.869999999999999	141065.0
-3.8599999999999994	141865.0
-3.83	142665.0
-3.9000000000000004	143365.0
-3.75	144165.0
-4.0	144965.0
-4.07	145765.0
-4.02	146565.0
-3.960000000000001	147265.0
-4.41	148065.0
-4.279999999999999	148665.00000000003
-4.0600000000000005	149265.0
-4.02	150065.0
-3.869999999999999	150864.99999999997
-3.6999999999999993	151665.00000000003
-3.6099999999999994	152665.00000000003
-3.4700000000000006	153665.0
-3.5	154465.0
-3.4499999999999993	155465.0
-3.3499999999999996	156364.99999999997
-3.3599999999999994	157364.99999999997
-3.5500000000000007	158165.0
-3.630000000000001	159165.0
-3.5299999999999994	159964.99999999997
-3.3900000000000006	161065.0
-3.2799999999999994	161865.0
-3.2300000000000004	162964.99999999997
-2.8900000000000006	163964.99999999997
-3.01	165165.0
-3.01	166065.0
-2.92	166865.0
-3.039999999999999	167765.0
-2.99	168765.0
-2.6899999999999995	169565.0
-2.7300000000000004	170465.0
-2.7200000000000006	171265.0
-2.7300000000000004	172065.0
-2.7799999999999994	173065.0
-2.83	174065.0
-2.75	174865.0
-2.9700000000000006	175765.0
-2.8599999999999994	176965.0
-2.9399999999999995	177865.0
-2.9499999999999993	178864.99999999997
-3.08	180265.0
-2.880000000000001	181864.99999999997
-2.9399999999999995	183065.0
-2.710000000000001	184065.0
-2.66	185364.99999999997
-2.3900000000000006	186364.99999999997
-2.01	187364.99999999997
-1.42	188165.0
-1.42	189165.0
-1.2899999999999991	190065.0
-1.1099999999999994	191265.00000000003
-0.6699999999999999	192265.00000000003
-0.6699999999999999	193265.00000000003
-0.40000000000000036	194165.0
-0.3200000000000003	194964.99999999997
-0.3000000000000007	195565.0
-0.5999999999999996	196565.0
-0.8200000000000003	197465.0
-0.7699999999999996	198365.0
-0.7699999999999996	199165.0
-0.4800000000000004	200165.0
-0.6199999999999992	200865.0
-0.6099999999999994	201765.0
-0.5899999999999999	202765.0
-0.5099999999999998	203765.0
-0.7200000000000006	204965.0
-0.7799999999999994	206065.0
-0.6799999999999997	207565.0
-0.8499999999999996	208965.0
-0.7699999999999996	210765.0
-0.9100000000000001	212364.99999999997
-0.7799999999999994	213965.0
-0.75	215065.0
-0.6899999999999995	216465.0
-0.7899999999999991	217665.0
-0.8900000000000006	218465.0
-1.1500000000000004	219265.00000000003
-1.5299999999999994	220265.00000000003
-2.1799999999999997	220965.0
-2.51	221765.00000000003
-2.58	222565.0
-3.0199999999999996	223565.0
-3.09	224265.00000000003
-2.7799999999999994	225365.0
-2.7799999999999994	226165.0
-2.7300000000000004	227165.0
-2.3100000000000005	227964.99999999997
-1.7400000000000002	229265.0
-1.7100000000000009	230065.0
-1.7899999999999991	230865.0
-2.0299999999999994	232065.0
-1.8100000000000005	233365.0
-1.8499999999999996	234165.0
-1.7400000000000002	234965.0
-1.3599999999999994	236165.0
-0.8100000000000005	236865.0
-0.5399999999999991	237765.0
-0.7400000000000002	238565.0
-0.4399999999999995	239765.0
-0.5999999999999996	240765.0
-0.7100000000000009	241565.0
-1.1999999999999993	242364.99999999997
-1.3200000000000003	243165.00000000003
-1.9100000000000001	243864.99999999997
-2.369999999999999	244765.0
-2.789999999999999	245765.0
-3.0	246565.0
-3.17	247364.99999999997
-3.3499999999999996	248165.0
-3.3100000000000005	249065.0
-3.4299999999999997	249864.99999999997
