Data,url,raw,utente,links,risposte,like,quote,retweet
2017-11-24 15:34:09+00:00,https://twitter.com/SkyTG24/status/934082721269219328,"Riscaldamento globale, tutto quello che c’è da sapere sui gas serra https://t.co/TEh6e2UpLv #ambiente https://t.co/smHOuwIK28",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/6B4vt', url='http://sky.tg/6B4vt', tcourl='https://t.co/TEh6e2UpLv', indices=(68, 91))]",0,3,0,1
2017-11-21 18:15:11+00:00,https://twitter.com/SkyTG24/status/933036082777636866,Col riscaldamento globale temporali e alluvioni più forti https://t.co/1lY7lGo1GD #ambiente https://t.co/xPChKiDO82,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/mfpkq', url='http://sky.tg/mfpkq', tcourl='https://t.co/1lY7lGo1GD', indices=(58, 81))]",0,5,0,6
2017-11-17 16:29:12+00:00,https://twitter.com/SkyTG24/status/931559859782168576,"Riscaldamento globale, le responsabilità dell'uomo. INFOGRAFICA https://t.co/bBqfv9aJb4 #ambiente https://t.co/eq0AO0hz44",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/j3pf6', url='http://sky.tg/j3pf6', tcourl='https://t.co/bBqfv9aJb4', indices=(64, 87))]",2,9,0,6
2017-11-17 16:24:09+00:00,https://twitter.com/SkyTG24/status/931558586374807552,"VIDEO: Riscaldamento globale, cosa possiamo fare https://t.co/u0YGROXqd3",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/mE6by', url='http://sky.tg/mE6by', tcourl='https://t.co/u0YGROXqd3', indices=(49, 72))]",2,5,0,3
2017-11-17 15:06:41+00:00,https://twitter.com/SkyTG24/status/931539093661548545,"Riscaldamento globale, quali sono le colpe dell’uomo? Ce lo spiega Claudia Adamo allo Sky Wall. https://t.co/h6Ce4Y7GEb",https://twitter.com/SkyTG24,,4,12,0,5
2017-11-09 15:00:12+00:00,https://twitter.com/SkyTG24/status/928638356564652038,Gli effetti del riscaldamento globale sullo scioglimento dei ghiacciai: è in corso a #Bonn la conferenza sul #clima. Ne parliamo a #TG24Pomeriggio con @lapinna1. https://t.co/nJs2xJ6Nvl,https://twitter.com/SkyTG24,,4,2,0,4
2017-09-28 19:39:08+00:00,https://twitter.com/SkyTG24/status/913488262458568705,Riscaldamento globale: emissioni di CO2 non sono aumentate nel 2016 https://t.co/PTShkuSRKA #ambiente https://t.co/A6d68urwo6,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2Hgz7', url='http://sky.tg/2Hgz7', tcourl='https://t.co/PTShkuSRKA', indices=(68, 91))]",6,5,1,6
2017-08-24 19:05:05+00:00,https://twitter.com/SkyTG24/status/900796118446907392,"Polo Nord, il riscaldamento globale apre la rotta artica https://t.co/rqEfTULZRe #ambiente https://t.co/saosTTZNZS",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2rkNs', url='http://sky.tg/2rkNs', tcourl='https://t.co/rqEfTULZRe', indices=(57, 80))]",1,29,1,17
2017-08-10 17:12:12+00:00,https://twitter.com/SkyTG24/status/895694282337599494,"Sempre più estati roventi, è colpa del riscaldamento globale https://t.co/y4gogy45Zh #ambiente https://t.co/ruCMsKPLFV",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2fd65', url='http://sky.tg/2fd65', tcourl='https://t.co/y4gogy45Zh', indices=(61, 84))]",4,12,2,11
2017-08-01 09:33:09+00:00,https://twitter.com/SkyTG24/status/892317267064520706,"Il riscaldamento globale galoppa, oltre 2 gradi entro 2100 https://t.co/xRckMwse1z #ambiente https://t.co/raFAleNr0h",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/6BbEq', url='http://sky.tg/6BbEq', tcourl='https://t.co/xRckMwse1z', indices=(59, 82))]",12,29,2,24
2017-07-06 09:33:05+00:00,https://twitter.com/SkyTG24/status/882895164691361792,"Il riscaldamento globale favorisce il proliferare delle #zanzare. A #FattiEdomande, con @lapinna1, parliamo delle conseguenze. https://t.co/ueQXUzvwBS",https://twitter.com/SkyTG24,,1,5,0,2
2017-06-28 13:30:10+00:00,https://twitter.com/SkyTG24/status/880055725233274881,"Riscaldamento globale, terza primavera più asciutta dal 1800. SKYWALL https://t.co/Yo6aaEzxMP #ambiente https://t.co/9fs93gFXi0",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/wcKeqvWHE4', url='http://sky.tg/wcKeqvWHE4', tcourl='https://t.co/Yo6aaEzxMP', indices=(70, 93))]",2,11,2,9
