,Data,url,raw,utente,links,risposte,like,quote,retweet
10,2021-08-04 05:39:33+00:00,https://twitter.com/repubblica/status/1422794313990250499,Il riscaldamento globale ucciderà più di 4 milioni di persone ogni anno https://t.co/Vq6OFCRd0P,https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/08/04/news/il_riscaldamento_globale_uccidera_piu_di_4_milioni_di_persone_ogni_anno-312826740/?rss&ref=twhr', tcourl='https://t.co/Vq6OFCRd0P', indices=(72, 95))]",25,21,1,8
11,2021-07-24 07:32:06+00:00,https://twitter.com/repubblica/status/1418836373566599171,"Clima, il riscaldamento globale in tre minuti https://t.co/WgUp8xxOgV",https://twitter.com/repubblica,"[TextLink(text='video.repubblica.it/green-and-blue…', url='https://video.repubblica.it/green-and-blue/clima-e-ambiente/clima-il-riscaldamento-globale-in-3-minuti/392159/392872/?rss&ref=twhr', tcourl='https://t.co/WgUp8xxOgV', indices=(46, 69))]",4,3,1,2
12,2021-07-16 11:55:38+00:00,https://twitter.com/repubblica/status/1416003591316283394,"Alluvioni in Germania, Antonio Navarra: “Eventi più estremi per il riscaldamento globale” https://t.co/Y8Uw2lyILN",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/07/16/news/alluvioni_in_germania_antonio_navarra_eventi_piu_estremi_per_il_riscaldamento_globale_-310545139/?rss&ref=twhr', tcourl='https://t.co/Y8Uw2lyILN', indices=(90, 113))]",3,10,5,4
13,2021-07-15 22:46:33+00:00,https://twitter.com/repubblica/status/1415805011871768577,"Alluvioni in Germania, Antonio Navarra: “Eventi più estremi per il riscaldamento globale” https://t.co/fvNXTV6x6i",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/esteri/2021/07…', url='https://www.repubblica.it/esteri/2021/07/15/news/germania_belgio_alluvioni_global_warming_cambiamento_climatico_antonio_navarra_intervista-310494160/?rss&ref=twhr', tcourl='https://t.co/fvNXTV6x6i', indices=(90, 113))]",5,12,2,8
14,2021-07-08 05:14:04+00:00,https://twitter.com/repubblica/status/1413003429920710658,"Riscaldamento globale e pesca intensiva: così scompaiono le foreste di kelp, polmone del pianeta https://t.co/aX0YObzJti",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/07/08/news/riscaldamento_globale_e_pesca_intensiva_cosi_scompaiono_le_foreste_di_kelp_polmone_del_pianeta-309284132/?rss&ref=twhr', tcourl='https://t.co/aX0YObzJti', indices=(97, 120))]",1,3,0,4
15,2021-06-08 06:10:04+00:00,https://twitter.com/repubblica/status/1402145884859600897,Il riscaldamento globale scatena i patogeni delle piante: in pericolo la sicurezza alimentare https://t.co/YNVPN1pn2s,https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/06/08/news/patogeni_delle_piante_sempre_piu_aggressivi_una_minaccia_reale_per_il_nostro_cibo-304161601/?rss&ref=twhr', tcourl='https://t.co/YNVPN1pn2s', indices=(94, 117))]",2,9,0,1
16,2021-05-27 14:52:06+00:00,https://twitter.com/repubblica/status/1397928607146672131,"Riscaldamento globale, difficile rispettare la soglia di 1,5°. ""Potremmo superarla entro il 2025"" https://t.co/UtVlLv0ZuW",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/05/27/news/riscaldamento_globale_la_soglia_di_1_5_potrebbe_essere_superata_prima_del_previsto-303047755/?rss&ref=twhr', tcourl='https://t.co/UtVlLv0ZuW', indices=(98, 121))]",2,6,3,4
17,2021-05-22 15:38:33+00:00,https://twitter.com/repubblica/status/1396128356463112196,"Big Oil, l'Agenzia per l'energia chiede lo stop ai nuovi pozzi. Ma non basta per fermare il riscaldamento globale https://t.co/y4JgPgcmEG",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/economia/rubri…', url='https://www.repubblica.it/economia/rubriche/eurobarometro/2021/05/22/news/big_oil_consumatori_e_grandi_industrie_per_una_vera_svolta_green_oguno_deve_fare_la_sua_parte-302146067/?rss&ref=twhr', tcourl='https://t.co/y4JgPgcmEG', indices=(114, 137))]",3,3,1,2
18,2021-05-13 06:26:27+00:00,https://twitter.com/repubblica/status/1392727926282473482,"Metano: un'opportunità per evitare 0,3°C di riscaldamento globale che il G20 dovrebbe cogliere https://t.co/Bh3rWw77WF",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/05/13/news/metano_un_opportunita_per_evitare_0_3_c_di_riscaldamento_globale_che_il_g20_dovrebbe_cogliere-300688306/?rss&ref=twhr', tcourl='https://t.co/Bh3rWw77WF', indices=(95, 118))]",0,3,2,4
19,2021-03-09 07:12:05+00:00,https://twitter.com/repubblica/status/1369184198666285058,"Troppo caldo, gli uccelli cambiano le piume per volare più in alto: Con il riscaldamento globale spostano il loro habitat verso l'alto. Un team di ricercatori americani ha analizzato l'evoluzione di 250 specie di uccelli canori himalayani, passeriformi… https://t.co/TPTdhZ5jGj",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/03/09/news/gli_uccelli_hanno_cambiato_le_piume_per_volare_piu_in_alto-290981860/?rss&ref=twhr', tcourl='https://t.co/TPTdhZ5jGj', indices=(254, 277))]",1,6,0,2
20,2021-02-24 07:32:06+00:00,https://twitter.com/repubblica/status/1364478193906769924,"La marcia delle mamme americane in difesa del clima: ""È per i nostri figli"": Si sono mobilitate e hanno creato Science Moms per trasmettere il know how sul riscaldamento globale e fare pressioni sui politici, tra conferenze, petizioni e lotta alle fake… https://t.co/TPcDd94gzO",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/02/24/news/la_marcia_delle_mamme_americane_in_difesa_del_clima_e_per_i_nostri_figli_-288173485/?rss&ref=twhr', tcourl='https://t.co/TPcDd94gzO', indices=(254, 277))]",1,28,2,7
21,2021-02-08 20:24:03+00:00,https://twitter.com/repubblica/status/1358874252556963841,Il riscaldamento globale fa aumentare gli attacchi di asma e le allergie https://t.co/13Pvqsw9vS,https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/02/08/news/il_riscaldamento_globale_fa_aumentare_gli_attacchi_di_asma_e_allergie-286630527/?rss&ref=twhr', tcourl='https://t.co/13Pvqsw9vS', indices=(73, 96))]",1,21,1,4
22,2021-01-16 11:11:32+00:00,https://twitter.com/repubblica/status/1350400288734134275,Elisa contro il riscaldamento globale: un brano inedito per un Pianeta più verde https://t.co/PCMgleBz7z,https://twitter.com/repubblica,"[TextLink(text='video.repubblica.it/spettacoli-e-c…', url='https://video.repubblica.it/spettacoli-e-cultura/elisa-contro-il-riscaldamento-globale-un-brano-inedito-per-un-pianeta-piu-verde/374738/375352/?rss&ref=twhr', tcourl='https://t.co/PCMgleBz7z', indices=(81, 104))]",0,20,1,5
23,2021-01-08 19:34:33+00:00,https://twitter.com/repubblica/status/1347627774261882881,"Riscaldamento globale. ""Attendiamoci nuovi record. Effetti minimi dal lockdown sulle emissioni di CO2"" [di Matteo Marini] [aggiornamento delle 16:24] https://t.co/1i2Hcx9aRe",https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/2021/01/08/new…', url='https://www.greenandblue.it/2021/01/08/news/riscaldamento_globale_attendiamo_nuovi_record_effetti_minimi_dal_lockdown_sulle_emissioni_di_co2_-281706775/?timestamp=1610119460000', tcourl='https://t.co/1i2Hcx9aRe', indices=(150, 173))]",1,15,1,10
24,2021-01-08 15:48:02+00:00,https://twitter.com/repubblica/status/1347570768817713152,"Riscaldamento globale. ""Attendiamoci nuovi record. Effetti minimi dal lockdown sulle emissioni di CO2"" https://t.co/qz3p0KHXmb",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/01/08/news/riscaldamento_globale_attendiamo_nuovi_record_effetti_minimi_dal_lockdown_sulle_emissioni_di_co2_-281706775/?rss&ref=twhr', tcourl='https://t.co/qz3p0KHXmb', indices=(103, 126))]",1,6,2,5
25,2020-12-28 14:01:03+00:00,https://twitter.com/repubblica/status/1343557579268493319,La soglia limite del riscaldamento globale superata tra 2027 e 2042 [aggiornamento delle 14:20] https://t.co/OSvLId3dOl,https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/2020/12/28/new…', url='https://www.greenandblue.it/2020/12/28/news/la_soglia_limite_del_riscaldamento_globale_superata_tra_2027_e_2042-280188385/?timestamp=1609161614000', tcourl='https://t.co/OSvLId3dOl', indices=(96, 119))]",2,3,0,3
26,2020-12-28 13:57:33+00:00,https://twitter.com/repubblica/status/1343556697999097856,La soglia limite del riscaldamento globale superata tra 2027 e 2042 https://t.co/ARZm4CrXXw,https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2020/12/28/news/la_soglia_limite_del_riscaldamento_globale_superata_tra_2027_e_2042-280188385/?rss&ref=twhr', tcourl='https://t.co/ARZm4CrXXw', indices=(68, 91))]",1,2,0,2
27,2020-12-17 16:42:02+00:00,https://twitter.com/repubblica/status/1339611825608933379,"C'è sempre meno ossigeno nei laghi, così contribuiranno al riscaldamento globale [di Simone Valesini] [aggiornamento delle 16:13] https://t.co/JdSqfbOURN",https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/2020/12/17/new…', url='https://www.greenandblue.it/2020/12/17/news/anche_i_laghi_contribuiranno_al_riscaldamento_globale_colpa_dell_inquinamento-278762736/?timestamp=1608217984000', tcourl='https://t.co/JdSqfbOURN', indices=(130, 153))]",0,8,1,2
28,2020-12-17 15:11:05+00:00,https://twitter.com/repubblica/status/1339588937317109763,"C'è sempre meno ossigeno nei laghi, così contribuiranno al riscaldamento globale https://t.co/BJ2wPWgYEO",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2020/12/17/news/anche_i_laghi_contribuiranno_al_riscaldamento_globale_colpa_dell_inquinamento-278762736/?rss&ref=twhr', tcourl='https://t.co/BJ2wPWgYEO', indices=(81, 104))]",0,5,0,4
29,2020-12-16 16:42:06+00:00,https://twitter.com/repubblica/status/1339249454285684736,Il riscaldamento globale corre più veloce dell’evoluzione [di Simone Valesini] [aggiornamento delle 15:13] https://t.co/AyxwvzXyr1,https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/2020/12/15/new…', url='https://www.greenandblue.it/2020/12/15/news/il_riscaldamento_globale_e_piu_veloce_dell_evoluzione-278466829/?timestamp=1608128029000', tcourl='https://t.co/AyxwvzXyr1', indices=(107, 130))]",1,5,0,3
30,2020-12-16 12:54:03+00:00,https://twitter.com/repubblica/status/1339192063150096384,Il riscaldamento globale corre più veloce dell’evoluzione [di Simone Valesini] [aggiornamento delle 12:11] https://t.co/c5QuFXAYNA,https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/2020/12/15/new…', url='https://www.greenandblue.it/2020/12/15/news/il_riscaldamento_globale_e_piu_veloce_dell_evoluzione-278466829/?timestamp=1608117116000', tcourl='https://t.co/c5QuFXAYNA', indices=(107, 130))]",0,7,1,5
